"naam"	"naam_clean"
"Arthroascus schoenii"	"Arthroascus schoenii"
"Arthrobacter castelli"	"Arthrobacter castelli"
"Arthrobacter citreus"	"Arthrobacter citreus"
"Arthrobacter crystallopoietes"	"Arthrobacter crystallopoietes"
"Arthrobacter flavus"	"Arthrobacter flavus"
"Arthrobacter gandavensis"	"Arthrobacter gandavensis"
"Arthrobacter globiformis"	"Arthrobacter globiformis"
"Arthrobacter koreensis"	"Arthrobacter koreensis"
"Arthrobacter luteolus"	"Arthrobacter luteolus"
"Arthrobacter monumenti"	"Arthrobacter monumenti"
"Arthrobacter nasiphocae"	"Arthrobacter nasiphocae"
"Arthrobacter parietis"	"Arthrobacter parietis"
"Arthrobacter pascens"	"Arthrobacter pascens"
"Arthrobacter pigmenti"	"Arthrobacter pigmenti"
"Arthrobacter pityocampae"	"Arthrobacter pityocampae"
"Arthrobacter psychrolactophilus"	"Arthrobacter psychrolactophilus"
"Arthrobacter pyridinolis"	"Arthrobacter pyridinolis"
"Arthrobacter ramosus"	"Arthrobacter ramosus"
"Arthrobacter roseus"	"Arthrobacter roseus"
"Arthrobacter russicus"	"Arthrobacter russicus"
"Arthrobacter sp"	"Arthrobacter sp"
"Arthrobacter stackebrandtii"	"Arthrobacter stackebrandtii"
"Arthrobacter tecti"	"Arthrobacter tecti"
"Arthrobacter tumbae"	"Arthrobacter tumbae"
"Arthrobacter woluwensis"	"Arthrobacter woluwensis"
"Arthroderma amazonicum"	"Arthroderma amazonicum"
"Arthroderma benhamiae"	"Arthroderma benhamiae"
"Arthroderma cuniculi"	"Arthroderma cuniculi"
"Arthroderma eboreum"	"Arthroderma eboreum"
"Arthroderma flavescens"	"Arthroderma flavescens"
"Arthroderma gertleri"	"Arthroderma gertleri"
"Arthroderma gloriae"	"Arthroderma gloriae"
"Arthroderma insingulare"	"Arthroderma insingulare"
"Arthroderma lenticulare"	"Arthroderma lenticulare"
"Arthroderma melis"	"Arthroderma melis"
"Arthroderma multifidum"	"Arthroderma multifidum"
"Arthrographis kalrae"	"Arthrographis kalrae"
